Acquired Date,Revenue
11/13/2004,331115
11/13/2004,331154
11/13/2004,331357
9/25/2008,331451
10/1/2006,331515
11/13/2004,331646
9/25/2008,331760
11/13/2004,331969
11/13/2004,332153
9/25/2008,332156
7/14/1996,332389
11/13/2004,332500
11/13/2004,332782
9/25/2008,332847
9/25/2008,332966
11/13/2004,333129
9/25/2008,333222
9/25/2008,333267
11/13/2004,333457
11/13/2004,333575
11/13/2004,333603
9/25/2008,333842
11/13/2004,333865
11/13/2004,334014
9/25/2008,334028
11/13/2004,334294
11/13/2004,334471
11/13/2004,334523
8/1/2000,334694
9/25/2008,335038
11/13/2004,335142
11/13/2004,335225
11/13/2004,335583
11/13/2004,335751
9/25/2008,335829
9/25/2008,336055
11/13/2004,336118
11/13/2004,336488
11/13/2004,336670
11/13/2004,336998
9/25/2008,337156
9/25/2008,337195
11/13/2004,337584
11/13/2004,338115
11/13/2004,338188
11/13/2004,338260
9/25/2008,338324
11/13/2004,339136
11/13/2004,339389
11/13/2004,339513
11/13/2004,339562
10/1/2006,339777
11/13/2004,339956
11/13/2004,340192
9/25/2008,340264
11/13/2004,340882
9/25/2008,340922
9/25/2008,341103
11/13/2004,341134
10/1/2006,341206
